	decimal_date	average	interpolated	Date
676	2014.542	399.1	399.1	2014-7
677	2014.625	397.03	397.03	2014-8
678	2014.708	395.38	395.38	2014-9
679	2014.792	396.03	396.03	2014-10
680	2014.875	397.28	397.28	2014-11
681	2014.958	398.91	398.91	2014-12
682	2015.042	399.98	399.98	2015-1
683	2015.125	400.28	400.28	2015-2
684	2015.208	401.54	401.54	2015-3
685	2015.292	403.28	403.28	2015-4
686	2015.375	403.96	403.96	2015-5
687	2015.458	402.8	402.8	2015-6
688	2015.542	401.31	401.31	2015-7
689	2015.625	398.93	398.93	2015-8
690	2015.708	397.63	397.63	2015-9
691	2015.792	398.29	398.29	2015-10
692	2015.875	400.16	400.16	2015-11
693	2015.958	401.85	401.85	2015-12
